"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Ohio : industrial","number of customers","ELEC.CUSTOMERS.OH-IND.M",21364,21282,21245,21262,21221,21231,21166,21135,21165,21074,21136,21082,21183,21186,21283,21149,21094,21092,21085,21039,21002,21009,20956,20977,21080,20713,20825,20738,20668,20733,20572,20724,20538,20628,20613,20477,19760,19605,20065,19600,19689,19694,19705,19789,19670,19665,19644,19642,19792,19720,19668,19623,19596,19594,19557,19566,19478,19623,19479,19506,19528,19429,19244,19402,19390,19307,19347,19329,19339,19356,19308,19317,19237,19206,19258,19219,19140,19252,19206,19206,19214,19199,19163,19218,19228,19132,19308,19202,19064,19279,19141,19153,19088,19121,19044,19066,19148,19142,19260,19101,19105,19140,19016,19137,19052,19011,19033,19012,18726,18658,18822,18731,18716,18704,18665,18713,18495,18611,18577,18539,18820,18754,18759,18732,18727,18726,18687,18756,18658,18698,18639,18635,20035,20062,20134,20142,20168,16144,20158,20237,20115,20134,20118,20107,17005,16946,16961,16931,16902,16874,16917,16878,16876,19627,16846
"Ohio : transportation","number of customers","ELEC.CUSTOMERS.OH-TRA.M",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,"NM",3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Ohio : other","number of customers","ELEC.CUSTOMERS.OH-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin","number of customers","ELEC.CUSTOMERS.WI-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin : all sectors","number of customers","ELEC.CUSTOMERS.WI-ALL.M",2918214,2913568,2911258,2912554,2917159,2916578,2921061,2921562,2923545,2924369,2907104,2930358,2936965,2920343,2924559,2935418,2924716,2926109,2935558,2933247,2930975,2931202,2923882,2943298,2939430,2922230,2936745,2944792,2929738,2934939,2942149,2939526,2944893,2934926,2932357,2949455,2945905,2933832,2945062,2946560,2942645,2947950,2949742,2948348,2956129,2946240,2945732,2956022,2954720,2946800,2950642,2958915,2949232,2958446,2957889,2959059,2956273,2958435,2961163,2955994,2969442,2958881,2951658,2963671,2968074,2966943,2966921,2966503,2972254,2968573,2962509,2977012,2982202,2970812,2968711,2977412,2982114,2981379,2987151,2986275,2989283,2990300,2979585,2998223,3001303,2983745,2990543,3003714,2994226,2997275,3006891,3004782,3006490,3003641,2994815,3015011,3011758,2998167,3014122,3015575,3009389,3018362,3019048,3016078,3031024,3021271,3019997,3030964,3035372,3020868,3030642,3032529,3032011,3044092,3043584,3037381,3046101,3042143,3049953,3049832,3058581,3048135,3045796,3057471,3056554,3063562,3064344,3064152,3064570,3064611,3073785,3065456,3083322,3069701,3066484,3074690,3082990,3082347,3083718,3079984,3088738,3093061,3084304,3099072,3134811,3122782,3118586,3140757,3128471,3133080,3145900,3141097,3142992,3111870,3141601
"Wisconsin : residential","number of customers","ELEC.CUSTOMERS.WI-RES.M",2580830,2577380,2573966,2576395,2579797,2579301,2581355,2581605,2582893,2584980,2569271,2589520,2594897,2581197,2584047,2593606,2585533,2585038,2592949,2590914,2588852,2590451,2583449,2600605,2596588,2582154,2593574,2601584,2588501,2593007,2597677,2595860,2599797,2592544,2590047,2605012,2601160,2590957,2600181,2602113,2598760,2603002,2603830,2603053,2608976,2601033,2600025,2609354,2608126,2601868,2605260,2612407,2603849,2611665,2611117,2612294,2609159,2611690,2613165,2609408,2622162,2613529,2607056,2618503,2621433,2620529,2620496,2620182,2624558,2621874,2616235,2629423,2630910,2621074,2619527,2626936,2630810,2630407,2634938,2634259,2636846,2638025,2628611,2644802,2647382,2632556,2638796,2650314,2642296,2645155,2653152,2651371,2652471,2650588,2642357,2660237,2657072,2646184,2659634,2660632,2656645,2664007,2664327,2662796,2671950,2664907,2664599,2674587,2677745,2665466,2674243,2676158,2675398,2686165,2685438,2680202,2687520,2685082,2691371,2691267,2698132,2689601,2687414,2697610,2696673,2702708,2703097,2703264,2703365,2704419,2711830,2704824,2721162,2709609,2706864,2713835,2720656,2720062,2721205,2717895,2725223,2730025,2721988,2734929,2766310,2756113,2752263,2771962,2760999,2765255,2776313,2772089,2773752,2746433,2771786
"Wisconsin : commercial","number of customers","ELEC.CUSTOMERS.WI-COM.M",333167,332004,331657,331933,333173,333163,334036,334277,334980,335123,333669,336658,338007,335095,335355,337742,335134,335919,337452,337174,336978,336683,336441,338660,338810,336074,337761,339167,337290,337896,339036,338211,339643,338318,338334,340332,340751,338857,340027,340383,339806,340893,341116,340392,342257,340319,340841,341760,342131,340436,340867,341976,340835,342259,342271,342255,342570,342168,343140,341781,342591,340642,339880,340499,341875,341665,341665,341654,342947,341966,341546,342846,345887,344369,343808,345041,345818,345493,346694,346515,346927,346754,345526,347938,348455,345731,346248,347886,346484,346523,348162,347807,348398,347410,346994,349314,349176,346478,348922,349372,347205,348771,349234,347727,353526,350802,349889,350845,352053,349833,350765,350747,350917,352197,352443,351390,352807,351437,353032,352849,354701,353005,352812,354078,354089,355013,355340,354931,355283,354424,356255,354736,356745,354732,354220,355199,356726,356673,356885,356447,357922,357603,356972,358576,363622,361814,361439,363771,362493,362820,364602,364043,364264,359930,364948
"Wisconsin : industrial","number of customers","ELEC.CUSTOMERS.WI-IND.M",4217,4184,5635,4226,4189,4114,5670,5680,5672,4266,4164,4180,4061,4051,5157,4070,4049,5152,5157,5159,5145,4068,3992,4033,4032,4002,5410,4041,3947,4036,5436,5455,5453,4064,3976,4111,3994,4018,4854,4064,4079,4055,4796,4903,4896,4888,4866,4908,4463,4496,4515,4532,4548,4522,4501,4510,4544,4577,4858,4805,4689,4710,4722,4669,4766,4749,4760,4667,4749,4733,4728,4743,5405,5369,5376,5435,5486,5479,5519,5501,5510,5521,5448,5483,5465,5457,5498,5513,5445,5596,5576,5603,5620,5642,5463,5459,5509,5504,5565,5570,5538,5583,5486,5554,5547,5561,5508,5531,5573,5568,5633,5623,5695,5729,5702,5788,5773,5623,5549,5715,5747,5528,5569,5782,5791,5840,5906,5956,5921,5767,5699,5895,5413,5358,5398,5654,5606,5610,5626,5640,5591,5431,5342,5565,"NM","NM","NM","NM","NM","NM","NM","NM","NM",5505,"NM"
"Wisconsin : transportation","number of customers","ELEC.CUSTOMERS.WI-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Wisconsin : other","number of customers","ELEC.CUSTOMERS.WI-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West North Central","number of customers","ELEC.CUSTOMERS.WNC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West North Central : all sectors","number of customers","ELEC.CUSTOMERS.WNC-ALL.M",10412512,10435124,10480349,10440206,10460862,10457008,10522807,10609260,10511374,10484907,10466577,10480563,10415018,10420214,10463730,10424562,10432348,10461976,10480651,10479586,10470745,10453952,10442867,10461309,10455626,10461500,10521621,10475832,10475161,10487184,10550431,10554736,10550445,10492812,10504274,10458138,10489983,10496647,10544967,10503097,10507448,10515291,10542982,10560837,10558810,10550730,10554605,10566265,10540023,10555636,10575416,10564253,10580664,10578902,10599411,10615212,10592501,10607412,10606744,10614490,10621376,10615254,10632288,10634166,10644489,10642468,10666503,10662508,10664955,10674717,10672250,10683085,10686683,10686094,10687336,10703998,10708750,10718827,10753968,10752051,10751988,10762533,10766253,10781385,10785063,10792349,10815793,10812032,10818416,10833899,10850838,10806462,10818318,10820101,10814744,10839017,10841619,10859972,10886052,10872455,10891357,10902736,10900396,10927791,10928621,10925586,10931664,10952291,10933923,10941692,10963087,10965190,10991234,10999279,11000321,11023189,11011311,11024974,11026547,11040010,11033392,11024327,11043187,11052858,11078072,11081852,11097958,11107583,11089354,11097496,11103531,11107312,11116002,11109302,11126196,11132395,11163768,11155969,11182953,11188415,11173511,11207877,11187427,11208608,11284414,11279207,11295633,11319016,11325686,11339472,11379975,11382144,11386480,11246243,11388776
"West North Central : residential","number of customers","ELEC.CUSTOMERS.WNC-RES.M",8984768,9009538,9008431,9008324,9018875,9008702,9026694,9115328,9027606,9039250,9025519,9038327,8984823,8991389,8999022,8991827,8996568,8992206,9007964,9008646,9000096,9015070,9007646,9024201,9015152,9022001,9034051,9030590,9028872,9037892,9050697,9056548,9050962,9039240,9052270,9002581,9036711,9042557,9057844,9050314,9052516,9056645,9056081,9071793,9068234,9061967,9065581,9075452,9060966,9077047,9091608,9079981,9091258,9089482,9106967,9122600,9099463,9112089,9107658,9114668,9114282,9113568,9125005,9135818,9135548,9134788,9152804,9155194,9156206,9164595,9163735,9174291,9175184,9178835,9178122,9190853,9191594,9203503,9229426,9224990,9225039,9233230,9239379,9252189,9259388,9268025,9287808,9282162,9284993,9299099,9310378,9272798,9280024,9279251,9277055,9300594,9297841,9311654,9334603,9320550,9336382,9345728,9345337,9367290,9366296,9364289,9370191,9389790,9378077,9387411,9405535,9405286,9423043,9429307,9429292,9449038,9439418,9457056,9459850,9469352,9459560,9459962,9474887,9476595,9494268,9498109,9511657,9519636,9504052,9518193,9526074,9523339,9535543,9531069,9545602,9543633,9567960,9560754,9582997,9589914,9573919,9610557,9593748,9607581,9688810,9686388,9699278,9717693,9722861,9735830,9770783,9774137,9777139,9645034,9782334
"West North Central : commercial","number of customers","ELEC.CUSTOMERS.WNC-COM.M",1350770,1350079,1355882,1355508,1365604,1371521,1377844,1375422,1365908,1368269,1364622,1365804,1350555,1349119,1351330,1352137,1354714,1354758,1357359,1355613,1355760,1357358,1354702,1356242,1357081,1356032,1359205,1360326,1361555,1363288,1369010,1367610,1369239,1368128,1368603,1368394,1363276,1363958,1367313,1361400,1362880,1365957,1365417,1367196,1368988,1367534,1368303,1369298,1367582,1368032,1371383,1370839,1375346,1376216,1378712,1380122,1379837,1381457,1380673,1380725,1386469,1380596,1385814,1378388,1385082,1383411,1388903,1382292,1383941,1387310,1384802,1384868,1388938,1385112,1385988,1387919,1392886,1392117,1398900,1401719,1401696,1404070,1403158,1404816,1403342,1402288,1405283,1406871,1409645,1408809,1414692,1407761,1411854,1414715,1413196,1415496,1419983,1424272,1426701,1426542,1430121,1431185,1429893,1434630,1437328,1436807,1437831,1438490,1433528,1432196,1434272,1436412,1442296,1443239,1444896,1447203,1445967,1447341,1447168,1446743,1448646,1445964,1449323,1450391,1457008,1456085,1458840,1460287,1458752,1458950,1458491,1458791,1459021,1457865,1459410,1459359,1465717,1464414,1468752,1466742,1468555,1473158,1471133,1471376,1483808,1481334,1484145,1484706,1486260,1486455,1491500,1490804,1492088,1476789,1494953
"West North Central : industrial","number of customers","ELEC.CUSTOMERS.WNC-IND.M",76972,75505,116034,76372,76381,76783,118267,118508,117858,77386,76434,76430,79638,79704,113376,80596,81064,115010,115326,115325,114887,81522,80517,80864,83391,83465,128363,84914,84732,86002,130722,130576,130242,85442,83399,87161,89994,90130,119808,91381,92050,92687,121482,121846,121586,121227,120719,121513,111473,110555,112423,113431,114058,113202,113730,112488,113199,113864,118411,119095,120623,121088,121467,119958,123857,124267,124794,125020,124806,122810,123711,123924,122559,122145,123224,125224,124268,123205,125640,125340,125251,125231,123714,124378,122331,122034,122700,122997,123776,125989,125766,125901,126438,126133,124491,122925,123793,124044,124746,125361,124851,125820,125163,125868,124994,124487,123639,124008,122315,122082,123277,123489,125892,126730,126130,126945,125923,120574,119526,123912,125183,118398,118974,125869,126793,127655,127458,127657,126547,120350,118963,125179,121435,120365,121181,129400,130088,130798,131201,131756,131034,124159,122543,129648,111793,111482,112207,116614,116562,117184,117689,117200,117250,124417,111486
"West North Central : transportation","number of customers","ELEC.CUSTOMERS.WNC-TRA.M",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"West North Central : other","number of customers","ELEC.CUSTOMERS.WNC-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa","number of customers","ELEC.CUSTOMERS.IA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa : all sectors","number of customers","ELEC.CUSTOMERS.IA-ALL.M",1541694,1538803,1545461,1543809,1543978,1542342,1543209,1544312,1544341,1546257,1541060,1545796,1544860,1544372,1547440,1544734,1545241,1545064,1548037,1547430,1547508,1549459,1545878,1551303,1548579,1548865,1553611,1550531,1550127,1549891,1552945,1554505,1554542,1552319,1552549,1557338,1552187,1551782,1558142,1553959,1554800,1555165,1555917,1558700,1559217,1557979,1558396,1561734,1556295,1560211,1562331,1560581,1562015,1561124,1563359,1566337,1562860,1567964,1565240,1567445,1568844,1567847,1569796,1569854,1571651,1569571,1572843,1572353,1573752,1577909,1575669,1576853,1575065,1573230,1576022,1575484,1578996,1577414,1581613,1581907,1583072,1585821,1585920,1587815,1585611,1585401,1588931,1588514,1589335,1590325,1592754,1592374,1595363,1597526,1595081,1600157,1595161,1596856,1601282,1597383,1599740,1601014,1600927,1604753,1604736,1606305,1608320,1612875,1613409,1614511,1619486,1616688,1620528,1620509,1620620,1624600,1622136,1627068,1626510,1629283,1629385,1628257,1631596,1630891,1632058,1632952,1634091,1636008,1633530,1636485,1637050,1637722,1640073,1635236,1639461,1639594,1643443,1639495,1644934,1641033,1642768,1653292,1648485,1651474,1675104,1672916,1674027,1681220,1678745,1680303,1684457,1681658,1684022,1660651,1688895
"Iowa : residential","number of customers","ELEC.CUSTOMERS.IA-RES.M",1325279,1326416,1327241,1326947,1326325,1324996,1324319,1325497,1325366,1328229,1323486,1327797,1323167,1323149,1324587,1323158,1323032,1321819,1324164,1323943,1323949,1326900,1323700,1328589,1325405,1326011,1328627,1327180,1326529,1326345,1327501,1328988,1328738,1328265,1328443,1332676,1327201,1326974,1331364,1328634,1328972,1329187,1328687,1331437,1331423,1330459,1330713,1333763,1329237,1332883,1334397,1332743,1333531,1332879,1334602,1337524,1334203,1338836,1336024,1338164,1338886,1338242,1339568,1340505,1340946,1339369,1341983,1341951,1342824,1346520,1344646,1346014,1344989,1343808,1346081,1345752,1347680,1346753,1349805,1348880,1349799,1352509,1352875,1354614,1353529,1353678,1356288,1355343,1355689,1356787,1358269,1357823,1358910,1357958,1355163,1359738,1355216,1352917,1358222,1354546,1356358,1357698,1357455,1360838,1360567,1361765,1363499,1367698,1368891,1370053,1374431,1371869,1374503,1374634,1374666,1378047,1375981,1380900,1380350,1382803,1382437,1381924,1384442,1383610,1383972,1384937,1385784,1388287,1385311,1388641,1389975,1389707,1391123,1387135,1390487,1389767,1392436,1389850,1393647,1390432,1391783,1401557,1397425,1400096,1419374,1417685,1418524,1425016,1422607,1424274,1427582,1425340,1427407,1408915,1430186
"Iowa : commercial","number of customers","ELEC.CUSTOMERS.IA-COM.M",210642,206650,211188,211100,211914,211605,211827,211740,211909,212227,211847,212252,215621,215167,215532,215477,216116,215898,216516,216123,216207,216431,216140,216616,217153,216835,217406,217291,217567,217495,217866,217908,218213,218000,218132,218556,218392,218192,218954,218645,219132,219264,219363,219353,219888,219623,219816,220036,219916,220136,220728,220625,221266,221067,221573,221597,221474,221900,221692,221721,221637,221274,221879,221082,222252,221758,222387,221930,222478,222945,222575,222379,222267,221635,222098,221796,224253,223609,224704,225796,226026,226039,225870,225983,224532,224185,225056,225581,226024,225849,226817,226845,228724,231806,232258,232800,232199,236309,235276,235062,235652,235553,235777,236150,236472,236816,237154,237441,236850,236781,237309,237087,238201,238010,238146,238676,238331,238550,238613,238723,238992,238682,239465,239295,240093,239975,240300,239664,240241,240108,239440,240110,240638,239936,240676,241094,242268,240895,242517,241805,242250,243283,242738,242700,248977,248503,248740,249236,249237,249120,249942,249436,249704,243347,252040
"Iowa : industrial","number of customers","ELEC.CUSTOMERS.IA-IND.M",5773,5737,7032,5762,5739,5741,7063,7075,7066,5801,5727,5747,6072,6056,7321,6099,6093,7347,7357,7364,7352,6128,6038,6098,6021,6019,7578,6060,6031,6051,7578,7609,7591,6054,5974,6106,6594,6616,7824,6680,6696,6714,7867,7910,7906,7897,7867,7935,7142,7192,7206,7213,7218,7178,7184,7216,7183,7228,7524,7560,8321,8331,8349,8267,8453,8444,8473,8472,8450,8444,8448,8460,7809,7787,7843,7936,7063,7052,7104,7231,7247,7273,7175,7218,7550,7538,7587,7590,7622,7689,7668,7706,7729,7762,7660,7619,7746,7630,7784,7775,7730,7763,7695,7765,7697,7724,7667,7736,7668,7677,7746,7732,7824,7865,7808,7877,7824,7618,7547,7757,7956,7651,7689,7986,7993,8040,8007,8057,7978,7736,7635,7905,8312,8165,8298,8733,8739,8750,8770,8796,8735,8452,8322,8678,"NM","NM","NM","NM","NM","NM","NM","NM","NM",8389,"NM"
"Iowa : transportation","number of customers","ELEC.CUSTOMERS.IA-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
